FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
427.0,193.0,-457.0,395.0,61.0,304.0,-12.0,206.0,1391.0,-818.0,212.0,-309.0,438.0,270.0,6221.0,-6452.0
264.0,269.0,-490.0,469.0,-78.0,379.0,-66.0,275.0,900.0,-526.0,194.0,-365.0,199.0,174.0,4628.0,-4798.0
70.0,322.0,-458.0,492.0,-182.0,467.0,-187.0,328.0,542.0,-290.0,180.0,-409.0,80.0,89.0,2484.0,-2629.0
-127.0,351.0,-369.0,451.0,-237.0,550.0,-334.0,328.0,544.0,-171.0,193.0,-425.0,262.0,14.0,596.0,-732.0
-255.0,336.0,-239.0,349.0,-226.0,609.0,-449.0,257.0,671.0,-193.0,229.0,-380.0,466.0,-47.0,-507.0,414.0
-226.0,234.0,-76.0,205.0,-142.0,620.0,-470.0,130.0,675.0,-333.0,264.0,-223.0,434.0,-89.0,-799.0,836.0
-158.0,62.0,68.0,78.0,-138.0,579.0,-382.0,-9.0,570.0,-502.0,284.0,7.0,235.0,-108.0,-707.0,940.0
-416.0,-74.0,94.0,52.0,-513.0,509.0,-241.0,-99.0,509.0,-586.0,297.0,168.0,93.0,-81.0,-658.0,1034.0
-967.0,-97.0,-36.0,154.0,-1158.0,438.0,-126.0,-99.0,538.0,-554.0,317.0,177.0,203.0,-99.0,-733.0,1106.0
-1303.0,-36.0,-228.0,303.0,-1541.0,400.0,-96.0,-27.0,577.0,-478.0,342.0,96.0,854.0,-546.0,-784.0,1013.0
-1262.0,77.0,-398.0,416.0,-1473.0,411.0,-180.0,75.0,574.0,-425.0,366.0,-17.0,2231.0,-1732.0,-716.0,715.0
-974.0,240.0,-550.0,492.0,-1073.0,460.0,-344.0,166.0,579.0,-419.0,388.0,-173.0,4094.0,-3463.0,-460.0,204.0
-379.0,391.0,-687.0,562.0,-368.0,521.0,-482.0,217.0,657.0,-475.0,399.0,-334.0,5920.0,-5234.0,285.0,-724.0
418.0,430.0,-778.0,635.0,408.0,556.0,-479.0,221.0,800.0,-591.0,386.0,-407.0,6982.0,-6335.0,1777.0,-2236.0
982.0,344.0,-813.0,705.0,796.0,535.0,-318.0,206.0,938.0,-719.0,356.0,-353.0,6638.0,-6107.0,3666.0,-3974.0
1040.0,229.0,-820.0,751.0,636.0,462.0,-100.0,202.0,994.0,-805.0,341.0,-229.0,5008.0,-4625.0,5125.0,-5208.0
762.0,163.0,-795.0,735.0,207.0,386.0,52.0,219.0,910.0,-830.0,367.0,-95.0,2859.0,-2609.0,5507.0,-5404.0
476.0,122.0,-686.0,629.0,-133.0,355.0,79.0,240.0,672.0,-804.0,421.0,49.0,977.0,-844.0,4683.0,-4477.0
288.0,77.0,-482.0,443.0,-270.0,371.0,-12.0,237.0,340.0,-731.0,483.0,175.0,-106.0,136.0,2963.0,-2727.0
112.0,36.0,-248.0,250.0,-293.0,396.0,-153.0,200.0,35.0,-615.0,543.0,211.0,-334.0,298.0,1030.0,-821.0
-50.0,-18.0,-58.0,138.0,-288.0,400.0,-239.0,139.0,-154.0,-482.0,589.0,148.0,-153.0,89.0,-265.0,431.0
-74.0,-116.0,83.0,113.0,-236.0,382.0,-208.0,69.0,-244.0,-363.0,603.0,71.0,-60.0,-37.0,-561.0,727.0
85.0,-234.0,188.0,117.0,-103.0,356.0,-107.0,10.0,-298.0,-269.0,578.0,41.0,-168.0,1.0,-300.0,520.0
304.0,-291.0,225.0,128.0,67.0,349.0,-55.0,5.0,-295.0,-188.0,525.0,20.0,-234.0,23.0,-148.0,420.0
437.0,-245.0,166.0,172.0,177.0,389.0,-121.0,85.0,-155.0,-125.0,456.0,-41.0,-57.0,-79.0,-315.0,586.0
448.0,-149.0,48.0,245.0,183.0,471.0,-281.0,218.0,109.0,-112.0,390.0,-119.0,255.0,-204.0,-550.0,768.0
383.0,-64.0,-74.0,322.0,132.0,572.0,-479.0,343.0,390.0,-155.0,333.0,-186.0,462.0,-201.0,-619.0,741.0
300.0,-9.0,-171.0,386.0,95.0,667.0,-666.0,410.0,601.0,-230.0,279.0,-255.0,471.0,-57.0,-583.0,566.0
255.0,-3.0,-226.0,416.0,106.0,731.0,-776.0,380.0,723.0,-315.0,226.0,-319.0,369.0,113.0,-501.0,334.0
291.0,-60.0,-230.0,402.0,159.0,735.0,-745.0,255.0,783.0,-388.0,180.0,-339.0,282.0,213.0,-142.0,-118.0
407.0,-153.0,-207.0,366.0,230.0,674.0,-589.0,98.0,813.0,-412.0,130.0,-298.0,258.0,227.0,504.0,-756.0
535.0,-224.0,-200.0,332.0,266.0,592.0,-394.0,-21.0,823.0,-375.0,72.0,-209.0,275.0,192.0,1038.0,-1195.0
603.0,-249.0,-214.0,291.0,213.0,540.0,-245.0,-77.0,799.0,-314.0,29.0,-91.0,286.0,161.0,1290.0,-1314.0
598.0,-254.0,-217.0,214.0,78.0,532.0,-164.0,-107.0,726.0,-280.0,22.0,46.0,254.0,173.0,1258.0,-1170.0
549.0,-259.0,-192.0,96.0,-64.0,545.0,-132.0,-156.0,632.0,-281.0,54.0,172.0,207.0,234.0,805.0,-669.0
479.0,-259.0,-165.0,-16.0,-141.0,535.0,-109.0,-245.0,562.0,-294.0,110.0,240.0,197.0,316.0,75.0,30.0
391.0,-250.0,-167.0,-64.0,-146.0,452.0,-33.0,-364.0,514.0,-298.0,163.0,230.0,216.0,383.0,-471.0,481.0
282.0,-248.0,-191.0,-34.0,-120.0,279.0,132.0,-482.0,443.0,-294.0,188.0,176.0,191.0,431.0,-617.0,508.0
187.0,-258.0,-207.0,33.0,-90.0,74.0,321.0,-550.0,340.0,-287.0,188.0,126.0,95.0,468.0,-564.0,367.0
179.0,-264.0,-204.0,86.0,-14.0,-38.0,359.0,-510.0,275.0,-277.0,196.0,99.0,17.0,479.0,-567.0,364.0
295.0,-251.0,-193.0,101.0,141.0,21.0,138.0,-348.0,311.0,-269.0,245.0,80.0,54.0,444.0,-656.0,525.0
471.0,-226.0,-179.0,80.0,330.0,201.0,-253.0,-132.0,420.0,-270.0,328.0,56.0,179.0,391.0,-705.0,670.0
621.0,-201.0,-182.0,50.0,490.0,394.0,-641.0,44.0,537.0,-276.0,412.0,18.0,287.0,367.0,-632.0,668.0
712.0,-187.0,-229.0,55.0,604.0,515.0,-883.0,113.0,632.0,-279.0,462.0,-29.0,317.0,397.0,-499.0,570.0
744.0,-197.0,-317.0,110.0,657.0,507.0,-874.0,51.0,690.0,-286.0,450.0,-63.0,267.0,474.0,-336.0,387.0
716.0,-231.0,-403.0,194.0,627.0,367.0,-600.0,-117.0,680.0,-295.0,369.0,-48.0,167.0,561.0,195.0,-217.0
629.0,-258.0,-452.0,274.0,518.0,174.0,-206.0,-294.0,591.0,-279.0,242.0,15.0,65.0,599.0,1344.0,-1440.0
508.0,-245.0,-448.0,326.0,359.0,58.0,84.0,-360.0,457.0,-219.0,145.0,64.0,14.0,544.0,2592.0,-2703.0
400.0,-200.0,-391.0,346.0,179.0,98.0,148.0,-270.0,321.0,-138.0,145.0,43.0,34.0,406.0,3246.0,-3315.0
341.0,-167.0,-292.0,336.0,5.0,259.0,41.0,-88.0,196.0,-82.0,237.0,-25.0,87.0,239.0,3158.0,-3159.0
340.0,-186.0,-166.0,294.0,-124.0,460.0,-135.0,83.0,89.0,-73.0,366.0,-101.0,148.0,77.0,2338.0,-2283.0
384.0,-259.0,-34.0,233.0,-174.0,639.0,-309.0,169.0,22.0,-95.0,476.0,-167.0,226.0,-70.0,935.0,-855.0
450.0,-361.0,76.0,183.0,-135.0,746.0,-405.0,140.0,8.0,-128.0,519.0,-187.0,288.0,-156.0,-379.0,459.0
516.0,-459.0,152.0,158.0,-25.0,742.0,-367.0,17.0,45.0,-157.0,467.0,-128.0,282.0,-129.0,-922.0,996.0
440.0,-506.0,199.0,142.0,9.0,643.0,-247.0,-131.0,-13.0,-168.0,355.0,-27.0,75.0,-8.0,-750.0,830.0
-178.0,-460.0,188.0,128.0,-447.0,527.0,-201.0,-202.0,-436.0,-177.0,283.0,20.0,-541.0,136.0,-468.0,563.0
-1468.0,-335.0,96.0,132.0,-1564.0,457.0,-333.0,-135.0,-1082.0,-228.0,332.0,-37.0,-1251.0,132.0,-485.0,589.0
-2741.0,-200.0,-54.0,165.0,-2702.0,427.0,-585.0,31.0,-1417.0,-353.0,486.0,-155.0,-1244.0,-276.0,-696.0,777.0
-3247.0,-103.0,-232.0,226.0,-3121.0,398.0,-836.0,204.0,-1293.0,-527.0,670.0,-274.0,-515.0,-920.0,-664.0,675.0
-2928.0,-47.0,-424.0,313.0,-2743.0,343.0,-994.0,309.0,-868.0,-693.0,813.0,-370.0,226.0,-1242.0,90.0,-193.0
-1940.0,-31.0,-603.0,417.0,-1739.0,252.0,-971.0,300.0,-170.0,-807.0,862.0,-412.0,944.0,-1250.0,1651.0,-1872.0
-522.0,-47.0,-743.0,521.0,-369.0,125.0,-725.0,178.0,576.0,-849.0,792.0,-353.0,2011.0,-1554.0,3578.0,-3868.0
661.0,-60.0,-839.0,602.0,719.0,-16.0,-342.0,3.0,921.0,-803.0,625.0,-197.0,3140.0,-2320.0,5342.0,-5617.0
994.0,-40.0,-867.0,628.0,966.0,-126.0,7.0,-132.0,735.0,-670.0,420.0,-20.0,3675.0,-3022.0,6393.0,-6580.0
623.0,0.0,-786.0,575.0,550.0,-168.0,201.0,-172.0,347.0,-484.0,236.0,102.0,3595.0,-3306.0,6187.0,-6274.0
195.0,33.0,-603.0,452.0,112.0,-146.0,250.0,-140.0,113.0,-297.0,99.0,158.0,3319.0,-3233.0,4763.0,-4775.0
