FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
38.0,-46.0,-85.0,209.0,-341.0,169.0,67.0,220.0,38.0,-160.0,-144.0,151.0,-93.0,-157.0,112.0,25.0
99.0,-109.0,-9.0,291.0,-271.0,179.0,50.0,314.0,53.0,9.0,-357.0,200.0,-8.0,-167.0,74.0,6.0
115.0,-97.0,53.0,319.0,-164.0,154.0,25.0,376.0,81.0,142.0,-533.0,260.0,74.0,-189.0,61.0,4.0
92.0,-37.0,121.0,265.0,-32.0,80.0,6.0,387.0,114.0,195.0,-630.0,320.0,127.0,-208.0,59.0,20.0
44.0,10.0,215.0,148.0,95.0,-39.0,8.0,353.0,147.0,134.0,-619.0,366.0,134.0,-211.0,58.0,46.0
-13.0,-3.0,323.0,25.0,157.0,-144.0,24.0,294.0,180.0,-20.0,-513.0,384.0,103.0,-191.0,54.0,64.0
-51.0,-82.0,396.0,-71.0,128.0,-168.0,30.0,202.0,211.0,-171.0,-378.0,359.0,82.0,-160.0,52.0,47.0
-45.0,-186.0,383.0,-140.0,46.0,-118.0,22.0,62.0,251.0,-238.0,-269.0,288.0,113.0,-136.0,62.0,-4.0
-20.0,-244.0,266.0,-181.0,-35.0,-66.0,17.0,-96.0,312.0,-228.0,-179.0,189.0,188.0,-120.0,78.0,-52.0
-27.0,-194.0,58.0,-177.0,-86.0,-59.0,18.0,-213.0,380.0,-195.0,-79.0,89.0,269.0,-114.0,88.0,-48.0
-73.0,-50.0,-191.0,-126.0,-104.0,-89.0,9.0,-255.0,417.0,-157.0,31.0,5.0,325.0,-127.0,87.0,11.0
-116.0,102.0,-394.0,-49.0,-101.0,-125.0,-19.0,-212.0,399.0,-126.0,128.0,-65.0,332.0,-153.0,72.0,84.0
-125.0,183.0,-490.0,32.0,-102.0,-137.0,-57.0,-104.0,334.0,-121.0,197.0,-131.0,280.0,-163.0,37.0,125.0
-100.0,175.0,-481.0,94.0,-14.0,-216.0,-100.0,19.0,252.0,-139.0,233.0,-199.0,203.0,-145.0,-22.0,111.0
-52.0,104.0,-379.0,96.0,417.0,-601.0,-136.0,89.0,175.0,-126.0,215.0,-262.0,161.0,-117.0,-83.0,41.0
13.0,4.0,-183.0,11.0,1133.0,-1216.0,-143.0,72.0,119.0,-37.0,126.0,-294.0,190.0,-103.0,-123.0,-50.0
70.0,-85.0,83.0,-128.0,1643.0,-1597.0,-106.0,0.0,98.0,102.0,-16.0,-265.0,266.0,-103.0,-155.0,-90.0
87.0,-133.0,363.0,-258.0,1722.0,-1549.0,-48.0,-65.0,108.0,240.0,-177.0,-163.0,347.0,-114.0,-188.0,-36.0
71.0,-138.0,603.0,-348.0,1487.0,-1201.0,-6.0,-91.0,125.0,353.0,-329.0,-11.0,402.0,-144.0,-206.0,86.0
56.0,-129.0,757.0,-396.0,985.0,-619.0,5.0,-84.0,136.0,412.0,-442.0,150.0,411.0,-179.0,-199.0,224.0
53.0,-10.0,689.0,-403.0,365.0,23.0,-4.0,-56.0,158.0,372.0,-490.0,283.0,358.0,-185.0,-186.0,337.0
38.0,465.0,176.0,-365.0,-30.0,375.0,-22.0,-9.0,204.0,231.0,-464.0,358.0,258.0,-150.0,-177.0,396.0
2.0,1217.0,-651.0,-292.0,-58.0,321.0,-47.0,61.0,235.0,52.0,-365.0,357.0,149.0,-99.0,-157.0,385.0
-35.0,1742.0,-1268.0,-202.0,59.0,121.0,-80.0,136.0,213.0,-101.0,-190.0,284.0,69.0,-72.0,-108.0,317.0
-49.0,1811.0,-1447.0,-103.0,54.0,69.0,-109.0,197.0,142.0,-204.0,38.0,182.0,38.0,-81.0,-42.0,243.0
-38.0,1549.0,-1306.0,2.0,-91.0,181.0,-134.0,253.0,38.0,-263.0,268.0,96.0,33.0,-102.0,2.0,206.0
-20.0,1004.0,-870.0,96.0,-205.0,282.0,-164.0,298.0,-75.0,-292.0,462.0,43.0,35.0,-124.0,26.0,201.0
3.0,294.0,-243.0,155.0,-168.0,250.0,-182.0,309.0,-158.0,-296.0,587.0,20.0,53.0,-156.0,56.0,200.0
34.0,-218.0,231.0,171.0,-57.0,150.0,-175.0,299.0,-201.0,-269.0,610.0,23.0,68.0,-176.0,76.0,195.0
42.0,-285.0,313.0,152.0,-22.0,113.0,-161.0,292.0,-211.0,-238.0,561.0,35.0,57.0,-165.0,66.0,189.0
14.0,-84.0,145.0,126.0,-78.0,157.0,-157.0,279.0,-194.0,-239.0,523.0,35.0,42.0,-149.0,54.0,180.0
-10.0,34.0,38.0,116.0,-127.0,200.0,-155.0,259.0,-175.0,-252.0,523.0,25.0,43.0,-148.0,56.0,170.0
-9.0,-32.0,95.0,118.0,-119.0,193.0,-149.0,247.0,-172.0,-252.0,530.0,18.0,52.0,-151.0,60.0,162.0
2.0,-120.0,175.0,117.0,-81.0,157.0,-137.0,235.0,-168.0,-243.0,521.0,15.0,58.0,-149.0,61.0,155.0
9.0,-110.0,162.0,117.0,-50.0,126.0,-122.0,225.0,-155.0,-235.0,501.0,14.0,59.0,-142.0,61.0,147.0
16.0,-49.0,97.0,126.0,-34.0,111.0,-111.0,224.0,-147.0,-221.0,477.0,12.0,57.0,-131.0,55.0,140.0
27.0,-29.0,70.0,137.0,-32.0,111.0,-106.0,232.0,-152.0,-199.0,457.0,11.0,53.0,-122.0,47.0,138.0
41.0,-65.0,90.0,140.0,-48.0,124.0,-104.0,233.0,-160.0,-177.0,434.0,10.0,47.0,-116.0,43.0,133.0
66.0,-118.0,96.0,135.0,-79.0,136.0,-91.0,212.0,-156.0,-156.0,381.0,8.0,26.0,-105.0,49.0,107.0
107.0,-166.0,57.0,136.0,-111.0,128.0,-54.0,171.0,-138.0,-130.0,278.0,4.0,-22.0,-81.0,70.0,46.0
147.0,-202.0,-8.0,155.0,-135.0,93.0,8.0,127.0,-122.0,-101.0,143.0,5.0,-94.0,-54.0,108.0,-34.0
155.0,-205.0,-82.0,194.0,-169.0,58.0,73.0,100.0,-118.0,-82.0,23.0,18.0,-176.0,-39.0,162.0,-105.0
125.0,-161.0,-175.0,245.0,-222.0,49.0,113.0,95.0,-122.0,-94.0,-44.0,38.0,-249.0,-48.0,225.0,-150.0
74.0,-89.0,-262.0,295.0,-267.0,58.0,116.0,109.0,-124.0,-151.0,-34.0,54.0,-293.0,-79.0,284.0,-167.0
20.0,-35.0,-299.0,327.0,-276.0,58.0,86.0,144.0,-120.0,-240.0,46.0,49.0,-304.0,-116.0,320.0,-166.0
-15.0,-33.0,-271.0,326.0,-268.0,46.0,46.0,182.0,-112.0,-325.0,150.0,19.0,-288.0,-138.0,326.0,-167.0
-2.0,-81.0,-218.0,288.0,-281.0,51.0,23.0,193.0,-97.0,-363.0,208.0,-27.0,-262.0,-131.0,300.0,-186.0
64.0,-156.0,-174.0,231.0,-315.0,83.0,33.0,164.0,-81.0,-328.0,177.0,-66.0,-241.0,-94.0,252.0,-215.0
131.0,-226.0,-136.0,187.0,-338.0,106.0,73.0,114.0,-73.0,-248.0,88.0,-72.0,-234.0,-48.0,208.0,-231.0
143.0,-253.0,-105.0,179.0,-315.0,85.0,118.0,75.0,-80.0,-166.0,-1.0,-37.0,-235.0,-24.0,192.0,-217.0
102.0,-209.0,-113.0,207.0,-249.0,40.0,134.0,62.0,-98.0,-115.0,-52.0,18.0,-235.0,-41.0,207.0,-177.0
47.0,-107.0,-173.0,250.0,-190.0,17.0,112.0,78.0,-111.0,-118.0,-46.0,62.0,-232.0,-86.0,240.0,-136.0
0.0,-3.0,-246.0,281.0,-186.0,33.0,72.0,113.0,-111.0,-179.0,19.0,67.0,-227.0,-130.0,271.0,-117.0
-29.0,29.0,-269.0,284.0,-233.0,60.0,38.0,149.0,-97.0,-268.0,118.0,34.0,-216.0,-150.0,279.0,-126.0
-16.0,-39.0,-220.0,254.0,-276.0,72.0,24.0,158.0,-79.0,-318.0,182.0,-15.0,-198.0,-139.0,261.0,-155.0
47.0,-162.0,-133.0,205.0,-276.0,67.0,35.0,130.0,-68.0,-286.0,159.0,-56.0,-179.0,-107.0,226.0,-191.0
112.0,-250.0,-67.0,159.0,-255.0,57.0,68.0,84.0,-66.0,-197.0,71.0,-69.0,-169.0,-69.0,195.0,-216.0
121.0,-239.0,-62.0,141.0,-245.0,56.0,103.0,46.0,-72.0,-110.0,-19.0,-48.0,-171.0,-46.0,180.0,-211.0
78.0,-150.0,-114.0,164.0,-235.0,59.0,116.0,37.0,-84.0,-68.0,-65.0,0.0,-181.0,-53.0,187.0,-171.0
22.0,-53.0,-176.0,212.0,-204.0,51.0,98.0,59.0,-92.0,-87.0,-52.0,43.0,-189.0,-84.0,209.0,-123.0
-23.0,0.0,-202.0,253.0,-169.0,31.0,64.0,101.0,-91.0,-155.0,17.0,53.0,-191.0,-121.0,234.0,-98.0
-53.0,5.0,-191.0,259.0,-168.0,16.0,36.0,137.0,-80.0,-240.0,115.0,21.0,-185.0,-141.0,247.0,-104.0
